message,target
i don t give a shit about your spic traditions,"[0, 1, 0]"
what happen when i dont play caore,"[1, 0, 0]"
rompan torres,"[1, 0, 0]"
undead should be segregated from the rest of us  ,"[1, 0, 0]"
still managed to walk  ,"[1, 0, 0]"
wow  such a little bitch  can t even reply normaly without insulting some one ,"[0, 1, 0]"
ok ok settle down and ill get off your mum,"[0, 0, 1]"
if youre triying to tilt me low skilled animal,"[0, 0, 1]"
fuk this cunt,"[0, 0, 1]"
ur fucking good,"[0, 1, 0]"
team diiot,"[0, 0, 1]"
carry or ruin,"[1, 0, 0]"
now trashtalking ,"[1, 0, 0]"
my ench flame me,"[1, 0, 0]"
maybe its his teammates,"[1, 0, 0]"
stop using that shit,"[0, 1, 0]"
mid mode whitemon  ,"[1, 0, 0]"
absolute dog shit toxic,"[0, 0, 1]"
only  ,"[1, 0, 0]"
oh now it is only a game ,"[1, 0, 0]"
ta has boots    naga is a wank hero,"[0, 1, 0]"
what,"[1, 0, 0]"
boa rs,"[1, 0, 0]"
how u survived both those fights   ,"[1, 0, 0]"
nice hero,"[1, 0, 0]"
the attack didnt hit,"[1, 0, 0]"
ur pick is shit,"[0, 0, 1]"
hes talking mad shit too,"[0, 1, 0]"
and shit on so many pos  and  ,"[0, 1, 0]"
the owner of the bear a gay ,"[0, 0, 1]"
how much ,"[1, 0, 0]"
pobistree spushu,"[1, 0, 0]"
fuck u i am the carry,"[0, 1, 0]"
right,"[1, 0, 0]"
thank,"[1, 0, 0]"
caming,"[1, 0, 0]"
and his wasting his life time on this game,"[1, 0, 0]"
suck my tiny pecker,"[0, 0, 1]"
ur mom where,"[0, 0, 1]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
wait for him,"[1, 0, 0]"
or smoe shit,"[0, 1, 0]"
you are not playing good  our afghan friends playing bad,"[1, 0, 0]"
so stupid offlaner ,"[0, 0, 1]"
son of whore rubick ,"[0, 0, 1]"
haters,"[1, 0, 0]"
for the first time,"[1, 0, 0]"
he went to masturbate,"[0, 1, 0]"
why you didnt pick ur friend wtf,"[0, 1, 0]"
we re learning dota this side of the river,"[1, 0, 0]"
easiest game of my life,"[1, 0, 0]"
my carry vs enemy carry,"[1, 0, 0]"
fat ass fuck,"[0, 0, 1]"
sounds something a boyt would say,"[1, 0, 0]"
this am is fucking the hottest trash,"[0, 0, 1]"
wtf thats maggie ,"[0, 1, 0]"
son of pig caught live on camera,"[0, 0, 1]"
dont pick me with bob,"[1, 0, 0]"
i think u like a dog,"[0, 0, 1]"
clown sf,"[0, 0, 1]"
phone  a couple of mins max,"[1, 0, 0]"
you are lower race,"[0, 0, 1]"
really,"[1, 0, 0]"
termine hdp ,"[1, 0, 0]"
we have a lil jungle bitch here,"[0, 0, 1]"
idiot this pudge,"[0, 0, 1]"
wtf racism,"[0, 1, 0]"
comenc me ty,"[1, 0, 0]"
report puck ffs,"[0, 1, 0]"
u can fisnih right now,"[1, 0, 0]"
classic    age,"[1, 0, 0]"
why so pussy ,"[0, 1, 0]"
dog storm cant backlane,"[0, 0, 1]"
who,"[1, 0, 0]"
no awareness frog,"[1, 0, 0]"
cant do shet wihout ur suport,"[0, 1, 0]"
stil lthere,"[1, 0, 0]"
trashcunt,"[0, 0, 1]"
just as noob as you are    ,"[0, 1, 0]"
i fucking called it    sec in advance,"[0, 1, 0]"
who the fuck,"[0, 1, 0]"
really strong series guys,"[1, 0, 0]"
please let us win,"[1, 0, 0]"
thanks for coming,"[1, 0, 0]"
everyone on my team should neck themselves,"[1, 0, 0]"
that s why u start typing,"[1, 0, 0]"
ulises bueno  rusherking  big one   mentiras   crossover  ,"[1, 0, 0]"
pls own him,"[1, 0, 0]"
when we had so fck trash pick,"[0, 1, 0]"
my suport is noob as fk,"[0, 0, 1]"
but brown,"[1, 0, 0]"
trying so fucking hard to throw since lvl  ,"[0, 1, 0]"
toxic,"[1, 0, 0]"
why always wanna chase me,"[1, 0, 0]"
okay but your sister put her bed next to mine,"[1, 0, 0]"
trash drow,"[0, 0, 1]"
fukion ez ching chongs,"[0, 0, 1]"
sht cunt techies,"[0, 0, 1]"
what a trash pub,"[0, 1, 0]"
i say to them,"[1, 0, 0]"
good handicap for us,"[1, 0, 0]"
your parents never loved you  adopted cunt,"[0, 0, 1]"
this team scare,"[1, 0, 0]"
frc,"[1, 0, 0]"
lol he is a fat kid,"[0, 0, 1]"
its rly broken shit,"[0, 1, 0]"
useless enemy team also cant end,"[0, 0, 1]"
whore,"[1, 0, 0]"
yes we are noobs ,"[0, 1, 0]"
whity boyy,"[0, 0, 1]"
it was great ,"[1, 0, 0]"
timber sucks vs me and undying,"[0, 1, 0]"
despite both mid and offlane super feeding,"[1, 0, 0]"
do u already try new pudge set ,"[1, 0, 0]"
can end i destroy my item already,"[1, 0, 0]"
clowns,"[1, 0, 0]"
play genshin,"[1, 0, 0]"
why waste your own time,"[1, 0, 0]"
im here to bang bitches and own noobs,"[0, 0, 1]"
they didnt pick a single,"[1, 0, 0]"
clown carry ,"[0, 0, 1]"
bark for me cory your handler said it was allowed,"[0, 0, 1]"
when u r losing raxes now,"[1, 0, 0]"
i m a fucking hooker,"[0, 1, 0]"
actually dont touch his blade thanks,"[1, 0, 0]"
really really ez,"[1, 0, 0]"
you are so shit lmao,"[0, 1, 0]"
stop playing,"[1, 0, 0]"
you are the most skilled archon ive ever seen,"[1, 0, 0]"
disugsting gross filth race,"[0, 0, 1]"
it helps,"[1, 0, 0]"
hitting towers,"[1, 0, 0]"
aw shiet,"[0, 1, 0]"
end chicas,"[1, 0, 0]"
what a trash game,"[1, 0, 0]"
but didnt specify which game,"[1, 0, 0]"
mather  d,"[1, 0, 0]"
playing  wth rightclick hero,"[1, 0, 0]"
dont talk son of whore,"[0, 0, 1]"
ez indio,"[0, 0, 1]"
se distrae intentando matarme ta k abuso,"[1, 0, 0]"
not my fault u so fucking garbo bro ,"[0, 1, 0]"
yeah your history is fucking bad xdd,"[0, 1, 0]"
pablo hater,"[1, 0, 0]"
good top,"[1, 0, 0]"
braindead rus,"[0, 0, 1]"
giving you some chocolate flavoured kisses,"[1, 0, 0]"
thanks m ,"[1, 0, 0]"
more party games,"[1, 0, 0]"
can one of you play offlane,"[1, 0, 0]"
win yet ,"[1, 0, 0]"
more like watch if you want your eyes to beleed,"[1, 0, 0]"
but we will win,"[1, 0, 0]"
see for waht sniper  ,"[1, 0, 0]"
whats up,"[1, 0, 0]"
useless snap   brain,"[0, 0, 1]"
you played too scared mid qop,"[1, 0, 0]"
straight guys thank you,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
hard to be the best,"[1, 0, 0]"
we have a retarded qop,"[0, 0, 1]"
you suck my dick before sleep,"[0, 0, 1]"
inting the whole fucking game,"[0, 1, 0]"
you know  i didn t wanna go bkb tinker  but you re not giving me many options with your fucking laser  ,"[0, 1, 0]"
had a dream there didnt ya pa,"[1, 0, 0]"
one more g pls ,"[1, 0, 0]"
glad ur a good sport about it,"[1, 0, 0]"
rep trash smurf sf,"[0, 0, 1]"
acc buyer noob,"[0, 0, 1]"
codex pissing or sth,"[1, 0, 0]"
just rtarded support on my side,"[0, 0, 1]"
losing mid badly then tinker fucked all lanes ,"[0, 1, 0]"
imagine throwing this game,"[1, 0, 0]"
both are designed to annoy ur opponent,"[1, 0, 0]"
throne nuugers,"[1, 0, 0]"
scared bc ur mid is noob,"[0, 1, 0]"
dude promise got     ping then morph lose top,"[1, 0, 0]"
to prove i can cancel with grenade,"[1, 0, 0]"
u guys lose the time,"[1, 0, 0]"
our carry is too gay,"[0, 0, 1]"
see he then only can kill meepo,"[1, 0, 0]"
worth it,"[1, 0, 0]"
coming,"[1, 0, 0]"
im re mute you but just know you had   chance at life  and you re a chink,"[1, 0, 0]"
does fly works on clones ,"[1, 0, 0]"
seal totem not jump in this barrier,"[1, 0, 0]"
thron,"[1, 0, 0]"
he s wiping the poop off his face,"[0, 0, 1]"
wp wp attempt to survive,"[1, 0, 0]"
both drow and noob ogre,"[0, 0, 1]"
t fnm,"[1, 0, 0]"
like your mothers,"[1, 0, 0]"
report who,"[1, 0, 0]"
whats wrong noob,"[0, 1, 0]"
it was so traumatic,"[1, 0, 0]"
weak ass bitch,"[0, 0, 1]"
ready,"[1, 0, 0]"
tim anjing,"[0, 0, 1]"
are you some kind of retard bro,"[0, 1, 0]"
what is he supposed to do   ,"[1, 0, 0]"
he is dumb,"[0, 0, 1]"
and then fucking lose,"[0, 1, 0]"
or feed on mid,"[1, 0, 0]"
timber last pick,"[1, 0, 0]"
in your mothers mouth,"[0, 0, 1]"
wtf is that shockwave hook interaction lmfao,"[0, 1, 0]"
too bad i have   rapier,"[1, 0, 0]"
i was so unsure to do next,"[1, 0, 0]"
he wont back bro,"[1, 0, 0]"
choppp,"[1, 0, 0]"
kill my currier,"[1, 0, 0]"
chrono the sky guys,"[1, 0, 0]"
to all chat,"[1, 0, 0]"
upset he was born in a country where they are born with small willies,"[0, 0, 1]"
low brain,"[0, 0, 1]"
can we go next,"[1, 0, 0]"
who tf is steven,"[0, 1, 0]"
kick this fking shaker,"[0, 0, 1]"
rosh worth it ,"[1, 0, 0]"
this idiot dont know to paly,"[0, 0, 1]"
you are still crying,"[1, 0, 0]"
out sniper sight,"[1, 0, 0]"
u can own only invoker actor players,"[1, 0, 0]"
grow the fuck up mongol,"[0, 1, 0]"
can u ff this shit xd,"[0, 1, 0]"
when u supp a noob team,"[0, 1, 0]"
g throne,"[1, 0, 0]"
way better than us,"[1, 0, 0]"
i cant play with  iq fcker,"[0, 1, 0]"
best team i had in months,"[1, 0, 0]"
you pick fucking undying every game,"[0, 1, 0]"
vvverry nice ,"[1, 0, 0]"
sucks to be you,"[0, 0, 1]"
clown,"[1, 0, 0]"
and juggernaut has a manta style and nothing because he decided the best thing to do once his lane was fucked was    nothing for    minutes,"[0, 1, 0]"
ogre is guardian or somethign,"[1, 0, 0]"
cant win alt ,"[1, 0, 0]"
dont tal to me,"[1, 0, 0]"
how the fuck you lost,"[0, 1, 0]"
cry please,"[1, 0, 0]"
nothing,"[1, 0, 0]"
fuck u bot scared dog,"[0, 0, 1]"
why do so many rtards play this game,"[0, 1, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
fucking cancer,"[0, 1, 0]"
what,"[1, 0, 0]"
wtf is that walrus,"[0, 1, 0]"
losing to nt mider,"[1, 0, 0]"
finally lol,"[1, 0, 0]"
earth spirit,"[1, 0, 0]"
our venge is very mad  cause his mom still holding his winky while playing,"[0, 0, 1]"
chad player,"[1, 0, 0]"
next time dont es offlane bro  cant initiate just wait like pussy,"[0, 1, 0]"
wp imbecile,"[0, 0, 1]"
my fucking,"[0, 1, 0]"
bitch ass,"[0, 0, 1]"
oh sorry i meant pignoy,"[0, 0, 1]"
throne,"[1, 0, 0]"
you die first then you can tp as cold corpse,"[1, 0, 0]"
and know everything ,"[1, 0, 0]"
idiot low rank,"[0, 0, 1]"
your pos   has double the nw of my jugg   ,"[1, 0, 0]"
stack reports for this clowny ruiner on treant,"[0, 0, 1]"
party with broky,"[1, 0, 0]"
yeash ,"[1, 0, 0]"
u are the idiot,"[0, 0, 1]"
crawl back into that pig sty lil worm,"[0, 0, 1]"
report them all please  such retardness,"[0, 1, 0]"
i would have same score as faireye,"[1, 0, 0]"
here to save toronto,"[1, 0, 0]"
puck got stomped mid but otherwise didnt do so bad,"[1, 0, 0]"
uck up bort,"[0, 1, 0]"
tough bot,"[1, 0, 0]"
im solo play when spirit br and shaman suck dick,"[0, 0, 1]"
watch out lads  this qop is farming while you fuck around top ,"[0, 1, 0]"
only ld and meepo,"[1, 0, 0]"
son of whore,"[0, 0, 1]"
fuck russian,"[0, 0, 1]"
toxcic,"[1, 0, 0]"
today im ur captain,"[1, 0, 0]"
when u re qop ,"[1, 0, 0]"
omg topson build,"[1, 0, 0]"
tangina mop  ,"[0, 0, 1]"
stop wasting our times,"[1, 0, 0]"
not that intimidating,"[1, 0, 0]"
wtf is your problem,"[0, 1, 0]"
my wit and your mom have that in common,"[1, 0, 0]"
before putin bomb you,"[0, 0, 1]"
clowns,"[1, 0, 0]"
hard to play line with rtard like you,"[0, 0, 1]"
am ,"[1, 0, 0]"
trash carry ,"[0, 0, 1]"
